asset_id,denomination,heritage_type,json_path,category,dbpedia_uri
1310,Molino Harinero Hidraúlico Cucarrete,inmueble,$.provincia.@id,provincia,http://es.dbpedia.org/resource/Provincia_de_Cádiz
1310,Molino Harinero Hidraúlico Cucarrete,inmueble,$.identifica.provincia.@id,provincia,http://es.dbpedia.org/resource/Provincia_de_Cádiz
1310,Molino Harinero Hidraúlico Cucarrete,inmueble,$.fotoList.foto.provincia.@id,foto_geo,http://es.dbpedia.org/resource/Provincia_de_Cádiz
1310,Molino Harinero Hidraúlico Cucarrete,inmueble,$.context.dbo,context_ns,http://dbpedia.org/ontology/
1310,Molino Harinero Hidraúlico Cucarrete,inmueble,$.context.esdbpp,context_ns,http://es.dbpedia.org/property/
1310,Molino Harinero Hidraúlico Cucarrete,inmueble,$.context.esdbpr,context_ns,http://es.dbpedia.org/resource/
19963,Cercado del Vidrio,inmueble,$.tipologiaList.tipologia.periodos.prov:wasAssociatedWith[0].@id,tipologia_dbpedia,http://es.dbpedia.org/resource/Edad_Moderna
19963,Cercado del Vidrio,inmueble,$.provincia.@id,provincia,http://es.dbpedia.org/resource/Huelva
19963,Cercado del Vidrio,inmueble,$.identifica.municipio.@id,municipio,http://es.dbpedia.org/resource/Cala_(Huelva)
19963,Cercado del Vidrio,inmueble,$.identifica.provincia.@id,provincia,http://es.dbpedia.org/resource/Huelva
19963,Cercado del Vidrio,inmueble,$.municipio.@id,municipio,http://es.dbpedia.org/resource/Cala_(Huelva)
19963,Cercado del Vidrio,inmueble,$.fotoList.foto.municipio.@id,foto_geo,http://es.dbpedia.org/resource/Cala_(Huelva)
19963,Cercado del Vidrio,inmueble,$.fotoList.foto.provincia.@id,foto_geo,http://es.dbpedia.org/resource/Huelva
19963,Cercado del Vidrio,inmueble,$.context.dbo,context_ns,http://dbpedia.org/ontology/
19963,Cercado del Vidrio,inmueble,$.context.esdbpp,context_ns,http://es.dbpedia.org/property/
19963,Cercado del Vidrio,inmueble,$.context.esdbpr,context_ns,http://es.dbpedia.org/resource/
217527,Facultad de Biología,inmueble,$.municipio.@id,municipio,http://es.dbpedia.org/resource/Provincia_de_Sevilla
217527,Facultad de Biología,inmueble,$.tipologiaList.tipologia.periodos.prov:wasAssociatedWith[0].@id,tipologia_dbpedia,http://es.dbpedia.org/resource/Edad_Contemporánea
217527,Facultad de Biología,inmueble,$.provincia.@id,provincia,http://es.dbpedia.org/resource/Provincia_de_Sevilla
217527,Facultad de Biología,inmueble,$.identifica.municipio.@id,municipio,http://es.dbpedia.org/resource/Provincia_de_Sevilla
217527,Facultad de Biología,inmueble,$.identifica.provincia.@id,provincia,http://es.dbpedia.org/resource/Provincia_de_Sevilla
217527,Facultad de Biología,inmueble,$.agenteList.agente[0].tipo_agen.prov:wasAssociatedWith[0].@id,asociacion_dbpedia,http://es.dbpedia.org/resource/Arquitecto
217527,Facultad de Biología,inmueble,$.agenteList.agente[1].tipo_agen.prov:wasAssociatedWith[0].@id,asociacion_dbpedia,http://es.dbpedia.org/resource/Arquitecto
217527,Facultad de Biología,inmueble,$.agenteList.agente[2].tipo_agen.prov:wasAssociatedWith[0].@id,asociacion_dbpedia,http://es.dbpedia.org/resource/Arquitecto
217527,Facultad de Biología,inmueble,$.agenteList.agente[3].tipo_agen.prov:wasAssociatedWith[0].@id,asociacion_dbpedia,http://es.dbpedia.org/resource/Arquitecto
217527,Facultad de Biología,inmueble,$.fotoList.foto.municipio.@id,foto_geo,http://es.dbpedia.org/resource/Provincia_de_Sevilla
217527,Facultad de Biología,inmueble,$.fotoList.foto.provincia.@id,foto_geo,http://es.dbpedia.org/resource/Provincia_de_Sevilla
217527,Facultad de Biología,inmueble,$.context.dbo,context_ns,http://dbpedia.org/ontology/
217527,Facultad de Biología,inmueble,$.context.esdbpp,context_ns,http://es.dbpedia.org/property/
217527,Facultad de Biología,inmueble,$.context.esdbpr,context_ns,http://es.dbpedia.org/resource/
7435,Córdoba II,inmueble,$.municipio.@id,municipio,http://es.dbpedia.org/resource/Carmona_(Cantabria)
7435,Córdoba II,inmueble,$.tipologiaList.tipologia[0].den_tipologia.prov:wasAssociatedWith[0].@id,tipologia_dbpedia,http://es.dbpedia.org/resource/Asentamiento
7435,Córdoba II,inmueble,$.tipologiaList.tipologia[0].den_etnia.prov:wasAssociatedWith[0].@id,etnia_dbpedia,http://es.dbpedia.org/resource/Iberos
7435,Córdoba II,inmueble,$.tipologiaList.tipologia[0].periodos.prov:wasAssociatedWith[0].@id,tipologia_dbpedia,http://es.dbpedia.org/resource/Cultura_de_La_Tène
7435,Córdoba II,inmueble,$.tipologiaList.tipologia[1].periodos.prov:wasAssociatedWith[0].@id,tipologia_dbpedia,http://es.dbpedia.org/resource/Época_romana
7435,Córdoba II,inmueble,$.provincia.@id,provincia,http://es.dbpedia.org/resource/Provincia_de_Sevilla
7435,Córdoba II,inmueble,$.identifica.municipio.@id,municipio,http://es.dbpedia.org/resource/Carmona_(Cantabria)
